category,providerCount,locationPresent,locationCompleteness,structuredPricePresent,structuredPriceCompleteness,websiteUrlPresent,websiteUrlCompleteness,structuredPromoPresent,structuredPromoCompleteness,descriptionSnippetPresent,descriptionSnippetCompleteness,serviceHighlightsPresent,serviceHighlightsCompleteness,termsHighlightsPresent,termsHighlightsCompleteness,eventTypesPresent,eventTypesCompleteness,nonZeroRatingPresent,nonZeroRatingCompleteness
Bebés,35,1,0.029,0,0,23,0.657,1,0.029,35,1,2,0.057,1,0.029,0,0,0,0
Catering,20,20,1,19,0.95,11,0.55,20,1,20,1,20,1,20,1,0,0,1,0.05
Fotografía y video,20,19,0.95,16,0.8,11,0.55,20,1,20,1,20,1,20,1,0,0,0,0
Hogar y deco,19,2,0.105,2,0.105,13,0.684,0,0,19,1,1,0.053,1,0.053,0,0,0,0
Wedding planners,18,18,1,14,0.778,9,0.5,18,1,18,1,18,1,18,1,0,0,1,0.056
Accesorios y zapatos,14,14,1,13,0.929,7,0.5,14,1,14,1,13,0.929,14,1,0,0,0,0
Otros,10,1,0.1,1,0.1,8,0.8,1,0.1,10,1,2,0.2,2,0.2,0,0,1,0.1
Música,8,8,1,8,1,1,0.125,8,1,8,1,8,1,8,1,0,0,0,0
Florería y papelería,7,7,1,4,0.571,1,0.143,7,1,7,1,7,1,7,1,0,0,0,0
Maquillaje,7,7,1,5,0.714,3,0.429,7,1,7,1,7,1,7,1,0,0,1,0.143
Salud y belleza,7,1,0.143,1,0.143,5,0.714,0,0,7,1,1,0.143,1,0.143,0,0,0,0
Vestidos,6,0,0,0,0,3,0.5,0,0,6,1,0,0,0,0,0,0,0,0
Baile,3,3,1,3,1,2,0.667,3,1,3,1,3,1,3,1,0,0,0,0
Locales,3,3,1,2,0.667,1,0.333,3,1,3,1,3,1,3,1,0,0,0,0
Viajes,3,1,0.333,1,0.333,3,1,1,0.333,3,1,1,0.333,1,0.333,0,0,0,0
Ternos y camisas,2,0,0,0,0,1,0.5,0,0,2,1,0,0,0,0,0,0,0,0
