field,label,present,total,missing,completeness
location,Location,105,182,77,0.577
priceLevel,Price level,89,182,93,0.489
minPrice,Min price,16,182,166,0.088
maxPrice,Max price,1,182,181,0.005
structuredPrice,Structured price,89,182,93,0.489
websiteUrl,Website URL,102,182,80,0.56
promoBadge,Promo badge,101,182,81,0.555
promoSummary,Promo summary,103,182,79,0.566
structuredPromo,Structured promo,103,182,79,0.566
descriptionSnippet,Description snippet,182,182,0,1
serviceHighlights,Service highlights,106,182,76,0.582
termsHighlights,Terms highlights,106,182,76,0.582
eventTypes,Event types,0,182,182,0
nonZeroRating,Non-zero rating,4,182,178,0.022
